MASK-S01-0001,ARMBAR,This move is said to be in Lionhearts list twice.,4,LIGHT ATTACK,NEUTRAL,0,0,NONE,3,1,NONE,NONE,0
MASK-S01-0014,ROPE BALANCE,Fly High luchador,2,S - LIGHT ATTACK,FACE,1,0,NEXT TURN +1 SPEED,1,0,SPD,NONE,1
MASK-S01-0010,CHOP,Wooooo,3,LIGHT ATTACK,NEUTRAL,0,0,NONE,3,0,NONE,NONE,0
MASK-S01-0008,HURACARANA,Now we are getting fancy,6,LIGHT ATTACK,NEUTRAL,0,0,NONE,3,2,NONE,NONE,0
MASK-S01-0034,AVALANCHE SPANISH FLY,Vintage Luchador 1,15,S - HEAVY ATTACK,FACE,3,3,NEXT TURN +3 SPEED & NEXT POWER +3 FOR 3 TURNS,1,0,SPD,PWR,3
MASK-S01-0032,PILEDRIVER,Not the forbidden move!,19,HEAVY ATTACK,NEUTRAL,0,0,NONE,3,5,NONE,NONE,0
MASK-S01-0019,SUPERKICK,I'm not your sexy boy,11,HEAVY ATTACK,NEUTRAL,0,0,NONE,3,3,NONE,NONE,0
MASK-S01-0022,SLINGBLADE,So easy a caveman can do it,13,HEAVY ATTACK,NEUTRAL,0,0,NONE,3,3,NONE,NONE,0
MASK-S01-0047,IN RING TACTICIAN,Eddie would be proud of you,0,GIMMICK,FACE,4,0,NEXT TURN +4 RESILIENCY,2,1,RES,NONE,1
MASK-S01-0048,KICK-OUT,Was it 3? No Just 2.,0,GIMMICK,NEUTRAL,-1,0,AUTOMATICALLY KICKS OUT OF A PIN. ONE USE ONLY,1,0,PIN,PIN,0
MASK-S01-0044,THE CROWD ROARS,LET'S GO LUCHADOR 1,0,GIMMICK,FACE,4,0,NEXT TURN +4 POWER,2,1,PWR,NONE,1
MASK-S01-0045,KIP - UP,VINTAGE HEARTBREAK KID,0,GIMMICK,FACE,4,0,NEXT TURN +4 SPEED,2,1,SPD,NONE,1
MASK-S01-0025,WHISPER IN THE WIND,What an enigmatic move or was it charismatic? ,14,HEAVY ATTACK,NEUTRAL,0,0,NONE,3,4,NONE,NONE,0
MASK-S01-0011,ELBOW STRIKE,Vintage Strong Style,3,LIGHT ATTACK,NEUTRAL,0,0,NONE,3,0,NONE,NONE,0
MASK-S01-0019,SUPERKICK,I'm not your sexy boy,11,HEAVY ATTACK,NEUTRAL,0,0,NONE,3,3,NONE,NONE,0
